Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SYNL,Synalloy Corporation,12.92,$116.72M,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/synl
SYNA,Synaptics Incorporated,81.45,$2.76B,2002,Technology,Semiconductors,https://old.nasdaq.com/symbol/syna
SNCR,"Synchronoss Technologies, Inc.",5.3,$238.84M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/sncr
SNDX,"Syndax Pharmaceuticals, Inc.",9.57,$259.73M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sndx
SYNH,"Syneos Health, Inc.",65.89,$6.84B,2014,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/synh
SYBX,"Synlogic, Inc.",2.38,$76.85M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sybx
SNPS,"Synopsys, Inc.",161.37,$24.29B,1992,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/snps
SES,"Synthesis Energy Systems, Inc.",5.52,$8.7M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ses
SYPR,"Sypris Solutions, Inc.",0.97,$20.67M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/sypr
SYRS,"Syros Pharmaceuticals, Inc.",7.54,$320.01M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/syrs
TROW,"T. Rowe Price Group, Inc.",136.42,$31.88B,1986,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/trow
TTOO,"T2 Biosystems, Inc.",0.9604,$44.83M,2014,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/ttoo
TRHC,"Tabula Rasa HealthCare, Inc.",64.26,$1.43B,2016,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/trhc
TCMD,"Tactile Systems Technology, Inc.",64.07,$1.22B,2016,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tcmd
TAIT,Taitron Components Incorporated,2.88,$16.57M,1995,Technology,Electronic Components,https://old.nasdaq.com/symbol/tait
TLC,"Taiwan Liposome Company, Ltd.",5.225,$193.82M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tlc
TTWO,"Take-Two Interactive Software, Inc.",112.21,$12.73B,1997,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ttwo
TLND,Talend S.A.,37.66,$1.16B,2016,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/tlnd
TNDM,"Tandem Diabetes Care, Inc.",83.02,$4.91B,2013,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tndm
TLF,"Tandy Leather Factory, Inc.",5.16,$46.1M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/tlf
TANH,Tantech Holdings Ltd.,1.37,$39.53M,2015,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/tanh
TAOP,Taoping Inc.,0.57,$23.8M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/taop
TEDU,"Tarena International, Inc.",2.25,$119.43M,2014,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/tedu
TH,Target Hospitality Corp.,5.33,$551.86M,2018,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/th
THWWW,Target Hospitality Corp.,0.7,n/a,2018,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/thwww
TRNX,"Taronis Technologies, Inc.",0.75,$24.84M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/trnx
TATT,TAT Technologies Ltd.,5.1104,$46.76M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/tatt
TAYD,"Taylor Devices, Inc.",12.1,$42.1M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tayd
TCF,TCF Financial Corporation,43.77,$6.7B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcf
TCFCP,TCF Financial Corporation,26.5742,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcfcp
CGBD,"TCG BDC, Inc.",13.69,$807.89M,2017,n/a,n/a,https://old.nasdaq.com/symbol/cgbd
TCRR,TCR2 Therapeutics Inc.,13.39,$321.82M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/tcrr
AMTD,TD Ameritrade Holding Corporation,49.59,$26.81B,1997,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/amtd
PETZ,"TDH Holdings, Inc.",1.3506,$16.91M,2017,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/petz
TECD,Tech Data Corporation,144.02,$5.1B,1986,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/tecd
TCCO,Technical Communications Corporation,3.15,$5.83M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/tcco
TTGT,"TechTarget, Inc.",26.47,$741.27M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ttgt
TGLS,Tecnoglass Inc.,7.91,$360.06M,2012,Consumer Durables,Electronic Components,https://old.nasdaq.com/symbol/tgls
TGEN,Tecogen Inc.,2.06,$51.18M,2014,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tgen
TECTP,"Tectonic Financial, Inc.",10.04,$15.06M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/tectp
TELA,"TELA Bio, Inc.",15.45,$176.22M,2019,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tela
TNAV,"Telenav, Inc.",6.32,$304.31M,2010,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tnav
TLGT,"Teligent, Inc.",0.55,$29.62M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tlgt
TELL,Tellurian Inc.,6.86,$1.68B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tell
TENB,"Tenable Holdings, Inc.",27.75,$2.72B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/tenb
TENX,"Tenax Therapeutics, Inc.",1.18,$7.96M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/tenx
TZAC,Tenzing Acquisition Corp.,10.54,$87.11M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tzac
TZACU,Tenzing Acquisition Corp.,10.61,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tzacu
TZACW,Tenzing Acquisition Corp.,0.16,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tzacw
TER,"Teradyne, Inc.",72.58,$12.16B,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/ter
TERP,"TerraForm Power, Inc.",20.34,$4.62B,2014,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/terp
TBNK,Territorial Bancorp Inc.,29.99,$290.35M,2009,Finance,Savings Institutions,https://old.nasdaq.com/symbol/tbnk
TSLA,"Tesla, Inc. ",804,$144.92B,2010,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/tsla
TESS,TESSCO Technologies Incorporated,6.95,$59.41M,1994,Technology,Electronic Components,https://old.nasdaq.com/symbol/tess
TTEK,"Tetra Tech, Inc.",98.12,$5.37B,1991,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/ttek
TTPH,"Tetraphase Pharmaceuticals, Inc.",2.21,$7.66M,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ttph
TCBI,"Texas Capital Bancshares, Inc.",56.75,$2.86B,2003,Finance,Major Banks,https://old.nasdaq.com/symbol/tcbi
TCBIL,"Texas Capital Bancshares, Inc.",26.74,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcbil
TCBIP,"Texas Capital Bancshares, Inc.",26.4106,$158.46M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcbip
TXN,Texas Instruments Incorporated,132.81,$123.78B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/txn
TXRH,"Texas Roadhouse, Inc.",63.42,$4.4B,2004,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/txrh
TFFP,"TFF Pharmaceuticals, Inc.",5.0605,$93.37M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tffp
TFSL,TFS Financial Corporation,22.01,$6.17B,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/tfsl
TGTX,"TG Therapeutics, Inc.",15.19,$1.51B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tgtx
WTER,The Alkaline Water Company Inc.,1.06,$27.41M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/wter
ANDE,"The Andersons, Inc.",21.4,$697.64M,n/a,Consumer Services,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ande
TBBK,"The Bancorp, Inc.",13.16,$749.34M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tbbk
BPRN,The Bank of Princeton,31.59,$213.39M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bprn
CG,The Carlyle Group Inc.,32.94,$11.44B,2012,Finance,Investment Managers,https://old.nasdaq.com/symbol/cg
CAKE,The Cheesecake Factory Incorporated,39.95,$1.78B,1992,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cake
CHEF,"The Chefs&#39; Warehouse, Inc.",37.63,$1.14B,2011,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/chef
TCFC,The Community Financial Corporation,33.7,$198.84M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcfc
DSGX,The Descartes Systems Group Inc.,46.8,$3.94B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dsgx
DXYN,"The Dixie Group, Inc.",1.25,$20.45M,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/dxyn
ENSG,"The Ensign Group, Inc.",53.08,$2.84B,2007,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ensg
XONE,The ExOne Company,7.27,$119.33M,2013,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/xone
FBMS,"The First Bancshares, Inc.",35,$658.08M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fbms
FLIC,The First of Long Island Corporation,23.37,$559.35M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/flic
GT,The Goodyear Tire & Rubber Company,11.59,$2.7B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/gt
HABT,"The Habit Restaurants, Inc.",13.98,$365.11M,2014,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/habt
HCKT,"The Hackett Group, Inc.",15.79,$472.07M,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/hckt
HAIN,"The Hain Celestial Group, Inc.",26.88,$2.81B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/hain
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",6.46,$39.62M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cuba
INTG,The Intergroup Corporation,35.2,$80.94M,n/a,Consumer Services,Building operators,https://old.nasdaq.com/symbol/intg
JYNT,The Joint Corp.,16.4,$227.35M,2014,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/jynt
KHC,The Kraft Heinz Company,27.77,$33.91B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/khc
OLD,The Long-Term Care ETF,32.1645,$35.38M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/old
LOVE,The Lovesac Company,10.75,$156.29M,2018,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/love
MSG,The Madison Square Garden Company,307.11,$7.37B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/msg
MEET,"The Meet Group, Inc.",6.26,$448.9M,n/a,Consumer Services,Advertising,https://old.nasdaq.com/symbol/meet
MIK,"The Michaels Companies, Inc.",4.81,$706.04M,2014,Consumer Services,Recreational Products/Toys,https://old.nasdaq.com/symbol/mik
MIDD,The Middleby Corporation,115.21,$6.47B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/midd
SLIM,The Obesity ETF,41.455,$12.44M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/slim
STKS,"The ONE Group Hospitality, Inc.",4.5,$129.93M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/stks
ORG,The Organics ETF,22.25,$6.68M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/org
PECK,"The Peck Company Holdings, Inc.",4.15,$23.06M,2016,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/peck
PNTG,"The Pennant Group, Inc.",32.3,$899.45M,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/pntg
PRSC,The Providence Service Corporation,69.18,$892.38M,2003,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/prsc
REAL,"The RealReal, Inc.",15.43,$1.32B,2019,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/real
RMR,The RMR Group Inc.,43.65,$1.37B,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/rmr
SMPL,The Simply Good Foods Company,24.84,$2.37B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/smpl
TSG,The Stars Group Inc.,23.66,$6.83B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/tsg
TTD,"The Trade Desk, Inc.",306.57,$13.84B,2016,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/ttd
YORW,The York Water Company,48.77,$633.45M,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/yorw
NCTY,The9 Limited,0.999,$31.66M,2004,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ncty
TXMD,"TherapeuticsMD, Inc.",2.44,$661.67M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/txmd
TRPX,Therapix Biosciences Ltd.,0.525,$3.79M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/trpx
THTX,Theratechnologies Inc.,2.73,$210.08M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/thtx
TBPH,"Theravance Biopharma, Inc.",25.11,$1.43B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tbph
THMO,"ThermoGenesis Holdings, Inc.",5.315,$15.11M,n/a,Capital Goods,Medical Specialities,https://old.nasdaq.com/symbol/thmo
TCRD,"THL Credit, Inc.",6.78,$205.34M,2010,n/a,n/a,https://old.nasdaq.com/symbol/tcrd
THBR,"Thunder Bridge Acquisition II, Ltd.",10.09,$348.11M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thbr
THBRU,"Thunder Bridge Acquisition II, Ltd.",10.63,$318.9M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thbru
THBRW,"Thunder Bridge Acquisition II, Ltd.",1.18,$20.36M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thbrw
TIBR,Tiberius Acquisition Corporation,10.47,$225.76M,2018,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/tibr
TIBRU,Tiberius Acquisition Corporation,11.6,n/a,2018,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/tibru
TIBRW,Tiberius Acquisition Corporation,1.33,n/a,2018,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/tibrw
TLRY,"Tilray, Inc.",16.13,$1.61B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/tlry
TSBK,"Timberland Bancorp, Inc.",27.5,$230.06M,n/a,Finance,Banks,https://old.nasdaq.com/symbol/tsbk
TIPT,Tiptree Inc.,7.26,$250.92M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/tipt
TITN,Titan Machinery Inc.,11.75,$262.59M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/titn
TMDI,Titan Medical Inc.,0.4287,$17.11M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/tmdi
TTNP,"Titan Pharmaceuticals, Inc.",0.2574,$21.42M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/ttnp
TVTY,"Tivity Health, Inc.",23.05,$1.11B,n/a,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/tvty
TIVO,TiVo Corporation,6.96,$881.6M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/tivo
TLSA,Tiziana Life Sciences plc,2.07,$56.57M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tlsa
TKKS,TKK Symphony Acquisition Corporation,10.28,$323.31M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tkks
TKKSR,TKK Symphony Acquisition Corporation,0.2275,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tkksr
TKKSU,TKK Symphony Acquisition Corporation,10,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tkksu
TKKSW,TKK Symphony Acquisition Corporation,0.07,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tkksw
TMUS,"T-Mobile US, Inc.",95.14,$81.53B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/tmus
TMSR,TMSR Holding Company Limited,1.4356,$35.63M,2015,Finance,Business Services,https://old.nasdaq.com/symbol/tmsr
TOCA,Tocagen Inc.,0.4612,$11.02M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/toca
TNXP,Tonix Pharmaceuticals Holding Corp.,0.4703,$5.82M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tnxp
TOPS,TOP Ships Inc.,0.64,$6.42M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/tops
TRCH,"Torchlight Energy Resources, Inc.",0.5893,$47.05M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/trch
TRMD,TORM plc,8.0616,$600.17M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/trmd
TOTA,Tottenham Acquisition I Limited,10.53,$62.81M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tota
TOTAR,Tottenham Acquisition I Limited,0.1601,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/totar
TOTAU,Tottenham Acquisition I Limited,10.69,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/totau
TOTAW,Tottenham Acquisition I Limited,0.0601,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/totaw
TBLT,"ToughBuilt Industries, Inc.",0.1515,$12.34M,2018,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tblt
TBLTW,"ToughBuilt Industries, Inc.",0.065,n/a,2018,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tbltw
TSEM,Tower Semiconductor Ltd.,24.3,$2.6B,1994,Technology,Semiconductors,https://old.nasdaq.com/symbol/tsem
CLUB,"Town Sports International Holdings, Inc.",1.84,$54.13M,2006,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/club
TOWN,Towne Bank,27.9,$2.03B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/town
TPIC,"TPI Composites, Inc.",24.61,$865.8M,2016,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/tpic
TCON,"TRACON Pharmaceuticals, Inc.",4.29,$22.31M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/tcon
TSCO,Tractor Supply Company,98.26,$11.63B,1994,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/tsco
TW,Tradeweb Markets Inc.,47.32,$10.53B,2019,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/tw
TWMC,Trans World Entertainment Corp.,4.33,$7.86M,n/a,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/twmc
TACT,TransAct Technologies Incorporated,10.41,$77.77M,1996,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/tact
TRNS,"Transcat, Inc.",32.21,$237.72M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/trns
TGA,TransGlobe Energy Corporation,1.23,$89.23M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tga
TBIO,"Translate Bio, Inc.",8,$480.18M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/tbio
TMDX,"TransMedics Group, Inc.",19.09,$404.01M,2019,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/tmdx
